Index	higherClassification
Angiosperms	.*?\|Calyceraceae\|.*?
Angiosperms	.*?\|Camellia\|.*?
Angiosperms	.*?\|Campanulaceae\|.*?
Angiosperms	.*?\|Camphorosma\|.*?
Angiosperms	.*?\|Canellaceae\|.*?
Angiosperms	.*?\|Canellales\|.*?
Angiosperms	.*?\|Cannabaceae\|.*?
Angiosperms	.*?\|Cannaceae\|.*?
Angiosperms	.*?\|Capparaceae\|.*?
Angiosperms	.*?\|Capparidoxylon\|.*?
Angiosperms	.*?\|Capraria\|.*?
Angiosperms	.*?\|Caprifoliaceae\|.*?
Angiosperms	.*?\|Capsicum\|.*?
Angiosperms	.*?\|Cardamine\|.*?
Angiosperms	.*?\|Cardiopteridaceae\|.*?
Angiosperms	.*?\|Caricaceae\|.*?
Angiosperms	.*?\|Caricopsis\|.*?
Angiosperms	.*?\|Carlina\|.*?
Angiosperms	.*?\|Carpesium\|.*?
Angiosperms	.*?\|Carpolithes\|.*?
Angiosperms	.*?\|Carthamus\|.*?
Angiosperms	.*?\|Carum\|.*?
Angiosperms	.*?\|Caryocaraceae\|.*?
Angiosperms	.*?\|Caryophyllaceae\|.*?
Angiosperms	.*?\|Caryophyllales\|.*?
Angiosperms	.*?\|Cassine\|.*?
Angiosperms	.*?\|Cassytha\|.*?
Angiosperms	.*?\|Castellinia\|.*?
Angiosperms	.*?\|Catananche\|.*?
Angiosperms	.*?\|Catesbaea\|.*?
Angiosperms	.*?\|Caucalis\|.*?
Angiosperms	.*?\|Celastraceae\|.*?
Angiosperms	.*?\|Celastrales\|.*?
Angiosperms	.*?\|Celosia\|.*?
Angiosperms	.*?\|Ceratoniophyllum\|.*?
Angiosperms	.*?\|Ceratophyllaceae\|.*?
Angiosperms	.*?\|Cerinthe\|.*?
Angiosperms	.*?\|Ceropegia\|.*?
Angiosperms	.*?\|Cestrum\|.*?
Angiosperms	.*?\|Chaerophyllum\|.*?
Angiosperms	.*?\|Cherleria\|.*?
Angiosperms	.*?\|Chloranthaceae\|.*?
Angiosperms	.*?\|Chloranthales\|.*?
Angiosperms	.*?\|Chrysanthemum\|.*?
Angiosperms	.*?\|Chrysobalanaceae\|.*?
Angiosperms	.*?\|Chrysogonum\|.*?
Angiosperms	.*?\|Cicer\|.*?
Angiosperms	.*?\|Cicuta\|.*?
Angiosperms	.*?\|Cinchona\|.*?
Angiosperms	.*?\|Cinna\|.*?
Angiosperms	.*?\|Cinnamomophyllum\|.*?
Angiosperms	.*?\|Circaea\|.*?
Angiosperms	.*?\|Cistaceae\|.*?
Angiosperms	.*?\|Clavijopsis\|.*?
Angiosperms	.*?\|Cleomaceae\|.*?
Angiosperms	.*?\|Clethraceae\|.*?
Angiosperms	.*?\|Clinopodium\|.*?
Angiosperms	.*?\|Clitoria\|.*?
Angiosperms	.*?\|Clusiaceae\|.*?
Angiosperms	.*?\|Cneorum\|.*?
