Index	higherClassification
Protists	Animalia|Haemoproteus|*
Flatworms	Animalia|Haploparaxis|*
Animals	Animalia|Hemichordata|*
Lepidoptera	Animalia|Hyphilaria|*
Coleoptera	Animalia|Hypophloeus|*
Animals	Animalia|Kinorhyncha|*
Lepidoptera	Animalia|Lemonias|*
Coleoptera	Animalia|Lobopoda|*
Animals	Animalia|Loricifera|*
Mollusca	Animalia|Mollusca|
Gastropoda	Animalia|Mollusca|Acanthina|*
Mollusca	Animalia|Mollusca|Achilleia|*
Gastropoda	Animalia|Mollusca|Acteon|*
Mollusca	Animalia|Mollusca|Actinaria|*
Mollusca	Animalia|Mollusca|Alcyonaria|*
Mollusca	Animalia|Mollusca|Aloysia|*
Mollusca	Animalia|Mollusca|Americana|*
Mollusca	Animalia|Mollusca|Amethystina|*
Mollusca	Animalia|Mollusca|Angiostoma|*
Mollusca	Animalia|Mollusca|Angulata|*
Mollusca	Animalia|Mollusca|Aplacophora|*
Mollusca	Animalia|Mollusca|Belocaulus|*
Bivalvia	Animalia|Mollusca|Bivalvia|*
Mollusca	Animalia|Mollusca|Candela|*
Mollusca	Animalia|Mollusca|Caudofoveata|*
Cephalopoda	Animalia|Mollusca|Cephalopoda|*
Mollusca	Animalia|Mollusca|Diplodiscus|*
Mollusca	Animalia|Mollusca|Discorbis|*
Mollusca	Animalia|Mollusca|Eruca|*
Gastropoda	Animalia|Mollusca|Galaxias|*
Gastropoda	Animalia|Mollusca|Gastropoda|*
Mollusca	Animalia|Mollusca|Helicteres|*
Mollusca	Animalia|Mollusca|Heliopsis|*
Mollusca	Animalia|Mollusca|Hendersonia|*
Bivalvia	Animalia|Mollusca|Hirundinaria|*
Mollusca	Animalia|Mollusca|Hyphantria|*
Mollusca	Animalia|Mollusca|Intermedia|*
Mollusca	Animalia|Mollusca|Latonia|*
Mollusca	Animalia|Mollusca|Lenticulina|*
Mollusca	Animalia|Mollusca|Leucostoma|*
Mollusca	Animalia|Mollusca|Lewisia|*
Mollusca	Animalia|Mollusca|Lida|*
Cephalopoda	Animalia|Mollusca|Loligo|*
Mollusca	Animalia|Mollusca|Maculatus|*
Mollusca	Animalia|Mollusca|Melanium|*
Mollusca	Animalia|Mollusca|Mitrula|*
Mollusca	Animalia|Mollusca|Monodontella|*
Mollusca	Animalia|Mollusca|Monoplacophora|*
Mollusca	Animalia|Mollusca|Nitida|*
Mollusca	Animalia|Mollusca|Oris|*
Gastropoda	Animalia|Mollusca|Ornithopus|*
Mollusca	Animalia|Mollusca|Paropsis|*
Mollusca	Animalia|Mollusca|Peltella|*
Mollusca	Animalia|Mollusca|Pera|*
Mollusca	Animalia|Mollusca|Pfaffia|*
Mollusca	Animalia|Mollusca|Pisum|*
Mollusca	Animalia|Mollusca|Pleuronectes|*
Gastropoda	Animalia|Mollusca|Polygyrus|*
Mollusca	Animalia|Mollusca|Polyplacophora|*
Mollusca	Animalia|Mollusca|Popula|*
Mollusca	Animalia|Mollusca|Prosopis|*
Mollusca	Animalia|Mollusca|Punica|*
Mollusca	Animalia|Mollusca|Reticulatus|*
Mollusca	Animalia|Mollusca|Rostroconchia|*
Mollusca	Animalia|Mollusca|Rotala|*
Mollusca	Animalia|Mollusca|Scaphopoda|*
