t.name,t.uri
Shan State,http://www.geonames.org/1297099
Mandalay,http://www.geonames.org/1311874
Kayah,http://www.geonames.org/1319539
Chin,http://www.geonames.org/1327132
Bago,http://www.geonames.org/1300463
Ayeyawady,http://www.geonames.org/1321850
Kachin,http://www.geonames.org/1321702
Tennessee,http://www.geonames.org/4662168
New Mexico,http://www.geonames.org/5481136
Botswana,http://www.geonames.org/933860
Us Fws Southwest Region,https://www.fws.gov/southwest/
Ceram Sea,http://www.marineregions.org/mrgid/4351
Ceram Sea,http://www.marineregions.org/gazetteer.php?p=details&id=4351
Djibouti,http://www.geonames.org/223816
Guinea,http://www.geonames.org/2420477
Midwest (Mw),http://eol.org/schema/terms/nwpl_midwest
"Western Mountains, Valleys And Coast (Wmvc)",http://eol.org/schema/terms/nwpl_westernmountainsvalleysandcoast
Atlantic And Gulf Coastal Plain (Agcp),http://eol.org/schema/terms/nwpl_atlanticandgulfcoastalplain
Suriname,http://www.geonames.org/3382998
Eastern Mountains And Piedmont (Emp),http://eol.org/schema/terms/nwpl_easternmountainsandpiedmont
Guyana,http://www.geonames.org/3378535
Northcentral And Northeast (Ncne),http://eol.org/schema/terms/nwpl_northcentralandnortheast
Arid West (Aw),http://eol.org/schema/terms/nwpl_aridwest
Great Plains (Gp),http://eol.org/schema/terms/nwpl_greatplains
CôTe D’Ivoire,http://www.geonames.org/2287781
Bangladesh,http://www.geonames.org/1210997
Antigua And Barbuda,http://www.geonames.org/3576396
Aegean Sea,http://www.marineregions.org/mrgid/3315
Armenia,http://www.geonames.org/174982
Aegean Sea,http://www.marineregions.org/gazetteer.php?p=details&id=3315
Azerbaijan,http://www.geonames.org/587116
Andorra,http://www.geonames.org/3041565
Albania,http://www.geonames.org/783754
Jersey,http://www.geonames.org/3042142
Cocos [Keeling] Islands,http://www.geonames.org/1547376
Chad,http://www.geonames.org/2434508
Curacao,http://www.geonames.org/7626836
Dominica,http://www.geonames.org/3575830
The Central African Republic,http://www.geonames.org/239880
Zimbabwe,http://www.geonames.org/878675
Burundi,http://www.geonames.org/433561
Czech Republic,http://www.geonames.org/3077311
Burkina Faso,http://www.geonames.org/2361809
Bosnia & Herzegovina,http://www.geonames.org/3277605
Brunei,http://www.geonames.org/1820814
Benin,http://www.geonames.org/2395170
Belarus,http://www.geonames.org/630336
Barbados,http://www.geonames.org/3374084
"Bonaire, Saint Eustatius And Saba",http://www.geonames.org/7626844
