Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Salmonidae,Coregonus albula,,vendace,Exotic,Freshwater
Fishes,Salmonidae,Coregonus artedi,,Cisco,Native,Freshwater
Fishes,Salmonidae,Coregonus clupeaformis,,Lake Whitefish,Native,Freshwater
Fishes,Salmonidae,Coregonus maraena,,Maraena whitefish,Exotic,Freshwater
Fishes,Salmonidae,Coregonus sp.,,a whitefish,Native,Freshwater
Fishes,Salmonidae,Coregonus wartmanni,,blaufelchen,Exotic,Freshwater
Fishes,Callichthyidae,Corydoras aeneus,,green corydoras,Exotic,Freshwater
Fishes,Callichthyidae,Corydoras sp.,,corydoras,Exotic,Freshwater
Fishes,Cottidae,Cottus asper,,Prickly Sculpin,Native,Freshwater
Fishes,Cottidae,Cottus bairdii,,Mottled Sculpin,Native,Freshwater
Fishes,Cottidae,Cottus extensus,,Bear Lake Sculpin,Native,Freshwater
Fishes,Cottidae,Cottus greenei,,Shoshone Sculpin,Native,Freshwater
Plants,Asteraceae,Cotula coronopifolia,,common brassbuttons,Exotic,Freshwater
Fishes,Cyprinidae,Couesius plumbeus,,Lake Chub,Native,Freshwater
Crustaceans-Copepods,Crangonyctidae,Crangonyx floridanus,,Florida crangonyctid, a freshwater amphipod,Native,Freshwater
Crustaceans-Amphipods,Crangonyctidae,Crangonyx pseudogracilis,,northern river crangonyctid [English],Native,Freshwater
Coelenterates-Hydrozoans,Olindiidae,Craspedacusta sowerbyi,,freshwater jellyfish,Exotic,Freshwater
Plants,Crassulaceae,Crassula aquatica,,water pigmyweed,Native,Freshwater
Fishes,Goodeidae,Crenichthys baileyi grandis,,Hiko White River springfish,Native,Freshwater
Fishes,Goodeidae,Crenichthys nevadae,,Railroad Valley Springfish,Native,Freshwater
Reptiles-Crocodilians,Crocodylidae,Crocodylus acutus,,American Crocodile,Native,Freshwater
Reptiles-Crocodilians,Crocodylidae,Crocodylus cataphractus,,African Slender-snouted Crocodile,Exotic,Freshwater
Reptiles-Crocodilians,Crocodylidae,Crocodylus niloticus,,Nile Crocodile,Exotic,Brackish
Plants,Araceae,Cryptocoryne beckettii,,Beckett's water trumpet,Exotic,Freshwater
Plants,Araceae,Cryptocoryne undulata,,undulate water trumpet,Exotic,Freshwater
Plants,Araceae,Cryptocoryne wendtii,,Wendt's water trumpet,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater
Fishes,Cyprinidae,Ctenopharyngodon x Hypophthalmichthys idella x nobilis,,grass carp x bighead carp,Exotic Hybrid,Freshwater
Fishes,Anabantidae,Ctenopoma nigropannosum,,twospot climbing perch,Exotic,Freshwater
Fishes,Gasterosteidae,Culaea inconstans,,Brook Stickleback,Native,Freshwater
Reptiles-Turtles,Emydidae,Cuora flavomarginata,,Yellow-margined Box Turtle,Exotic,Freshwater
Crustaceans-Copepods,Cyclopidae,Cyclops strenuus,,Copepod,Native,Freshwater
Amphibians-Salamanders,Salamandridae,Cynops orientalis,,Oriental Fire-bellied Newt,Exotic,Freshwater
Amphibians-Salamanders,Salamandridae,Cynops pyrrhogaster,,Japanese Fire-bellied Salamander,Exotic,Freshwater
Fishes,Sciaenidae,Cynoscion nebulosus,,Spotted Seatrout,Native,Marine
Fishes,Sciaenidae,Cynoscion nebulosus x C. xanthulus,,spotted seatrout x orangemouth corvina,Exotic Hybrid,Marine
Fishes,Sciaenidae,Cynoscion othonopterus,,Gulf Corvina,Exotic,Marine
Fishes,Sciaenidae,Cynoscion parvipinnis,,Shortfin Corvina,Native,Marine
Fishes,Sciaenidae,Cynoscion xanthulus,,Orangemouth Corvina,Exotic,Marine
Plants,Cyperaceae,Cyperus blepharoleptos,,Cuban bulrush,Native,Freshwater
Plants,Cyperaceae,Cyperus blepharoleptos,,Cuban bulrush (umbellate),Native,Freshwater
Plants,Cyperaceae,Cyperus blepharoleptos,,Cuban bulrush (capitate),Native,Freshwater
Plants,Cyperaceae,Cyperus difformis,,smallflower umbrella sedge,Exotic,Freshwater
Plants,Cyperaceae,Cyperus papyrus,,papyrus,Exotic,Freshwater
Fishes,Cyprinidae,Cyprinella analostana,,Satinfin Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella galactura,,Whitetail Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella lutrensis,,Red Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella lutrensis x C. venusta,,,Native Hybrid,Freshwater
Fishes,Cyprinidae,Cyprinella pyrrhomelas,,Fieryblack Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella spiloptera,,Spotfin Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella venusta,,Blacktail Shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella venusta cercostigma,,eastern blacktail shiner,Native,Freshwater
Fishes,Cyprinidae,Cyprinella whipplei,,Steelcolor Shiner,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon diabolis,,Devils Hole Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon eremus,,Sonoyta Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon macularius,,Desert Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon macularius macularius,,Desert Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon nevadensis,,Amargosa Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon nevadensis amargosae,,Amargosa pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon radiosus,,Owens Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon rubrofluviatilis,,Red River Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon salinus,,Salt Creek Pupfish,Native,Freshwater
Fishes,Cyprinodontidae,Cyprinodon variegatus,,Sheepshead Minnow,Native,Freshwater
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater
Fishes,Umbridae,Dallia pectoralis,,Alaska Blackfish,Native,Freshwater
Fishes,Cyprinidae,Danio rerio,,zebra danio,Exotic,Freshwater
Crustaceans-Cladocerans,Daphniidae,Daphnia curvirostris,,a water flea,Exotic,Freshwater
Crustaceans-Cladocerans,Daphniidae,Daphnia galeata galeata,,waterflea,Exotic,Freshwater
Crustaceans-Cladocerans,Daphniidae,Daphnia longispina,,a waterflea,Exotic,Freshwater
Crustaceans-Cladocerans,Daphnidae,Daphnia lumholtzi,,a waterflea,Exotic,Freshwater
Fishes,Pomacentridae,Dascyllus aruanus,,whitetail damselfish,Exotic,Marine
Fishes,Pomacentridae,Dascyllus trimaculatus,,three spot damselfish,Exotic,Marine
Fishes,Cyprinidae,Dawkinsia filamentosa,,blackspot barb,Exotic,Freshwater
