Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Sub Phylum	Class	Infraclass	Super Cohort	Cohort	Super Order	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Infraspecies	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
10096	Breviceps macrops Boulenger, 1907		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	macrops 		Species			may also be found in family Brevicipitidae		1
10097	Breviceps maculatus FitzSimons, 1947		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	maculatus		Species					1
10098	Breviceps montanus Power, 1926		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	montanus 		Species			may also be found in family Brevicipitidae		1
10099	Breviceps mossambicus Peters, 1854		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	mossambicus 		Species			may also be found in family Brevicipitidae		1
10100	Breviceps namaquensis Power, 1926		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	namaquensis 		Species			may also be found in family Brevicipitidae		1
10101	Breviceps rosei Power, 1926		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	rosei 		Species			may also be found in family Brevicipitidae, author also listed as FitzSimons, 1946		1
10102	Breviceps rosei rosei		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	rosei 	rosei 	Infraspecies					1
10103	Breviceps rosei vansoni FitzSimons, 1946		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	rosei 	vansoni	Infraspecies			may also be found in family Brevicipitidae; not recognised by catalogue of life		1
10104	Breviceps sopranus Minter, 2003		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	sopranus 		Species			may also be found in family Brevicipitidae		1
10105	Breviceps sylvestris FitzSimons, 1930		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	sylvestris 		Species			may also be found in family Brevicipitidae, author also listed as Poynton, 1963		1
10106	Breviceps sylvestris sylvestris		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	sylvestris	sylvestris	Infraspecies					1
10107	Breviceps sylvestris taeniatus Poynton, 1963		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	sylvestris	taeniatus	Infraspecies			may also be found in family Brevicipitidae; not recognised by catalogue of life		1
10108	Breviceps verrucosus Rapp, 1842		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Brevicipitinae		Breviceps	verrucosus 		Species			may also be found in family Brevicipitidae		1
10109	Phrynomerinae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Phrynomerinae					Subfamily					1
10110	Phrynomantis Peters, 1867		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Phrynomerinae		Phrynomantis			Genus					1
10111	Phrynomantis annectens Werner, 1910		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Phrynomerinae		Phrynomantis	annectens 		Species					1
10112	Phrynomantis bifasciatus (Smith, 1847)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Microhylidae	Phrynomerinae		Phrynomantis	bifasciatus 		Species					1
