TaxonID	Name	Source Reference	Language	Locality	CountryCode	IsPreferredName	TaxonRemarks
Telacanthura ussheri	Gevlekte Stekelstert		Afrikaans				
Sarothrura elegans	Gevlekte Vleikuiken		Afrikaans				
Uraeginthus angolensis	Gewone Blousysie		Afrikaans				
Vidua funerea	Gewone Blouvinkie		Afrikaans				
Saxicola torquatus	Gewone Bontrokkie		Afrikaans				
Bycanistes bucinator	Gewone Boskraai		Afrikaans				
Burhinus capensis	Gewone Dikkop		Afrikaans				
Sylvicapra grimmia 	Gewone duiker		Afrikaans				
Spermestes cucullatus	Gewone Fret		Afrikaans				
Cossypha caffra	Gewone Janfrederik		Afrikaans				
Anthus cinnamomeus	Gewone Koester		Afrikaans				
Ortygospiza atricollis	Gewone Kwartelvinkie		Afrikaans				
Motacilla capensis	Gewone Kwikkie		Afrikaans				
Pytilia melba	Gewone Melba		Afrikaans				
Passer melanurus	Gewone Mossie		Afrikaans				
Nycticorax nycticorax	Gewone Nagreier		Afrikaans				
Vidua paradisaea	Gewone Paradysvink		Afrikaans				
Actitis hypoleucos	Gewone Ruiter		Afrikaans				
Cercomela familiaris	Gewone Spekvreter		Afrikaans				
Nycteris thebaica 	Gewone spleetneusvlermuis		Afrikaans				
Sterna hirundo	Gewone Sterretjie		Afrikaans				
Oceanites oceanicus	Gewone Stormswael		Afrikaans				
Parus niger	Gewone Swartmees		Afrikaans				
Numida meleagris	Gewone Tarentaal		Afrikaans				
Streptopelia capicola	Gewone Tortelduif		Afrikaans				
Coracias caudatus	Gewone Troupant		Afrikaans				
Centropus burchellii	Gewone Vleiloerie		Afrikaans				
Andropadus importunus	Gewone Willie		Afrikaans				
Giraffa camelopordalis	Giraf		Afrikaans				
Plegadis falcinellus	Glansibis		Afrikaans				
Ardeotis kori	Gompou		Afrikaans				
Euplectes afer	Goudgeelvink		Afrikaans				
Tmetothylacus tenellus	Goudkoester		Afrikaans				
Rostratula benghalensis	Goudsnip		Afrikaans				
Campethera abingoni	Goudstertspeg		Afrikaans				
Ploceus xanthops	Goudwewer		Afrikaans				
Suricata suricatta 	Graatjie-meerkat		Afrikaans				
Eremitalpa granti	Grant se gouemol		Afrikaans				
Micaelamys granti	Grant se klipmuis		Afrikaans				
Tyto capensis	Grasuil		Afrikaans				
Chrysospalax villosus 	Grasveldgouemol		Afrikaans				
Certhilauda semitorquata	Grasveldlangbeklewerik		Afrikaans				
Sphenoeacus afer	Grasvoël		Afrikaans				
Mesoplodon grayi 	Gray se snoetwalvis		Afrikaans				
Vidua codringtoni	Groenblouvinkie		Afrikaans				
Eremomela gregalis	Groenbossanger		Afrikaans				
Stactolaema olivacea	Groenhoutkapper		Afrikaans				
Mandingoa nitidula	Groenkolpensie		Afrikaans				
Anas platyrhynchos	Groenkopeend		Afrikaans				
Tringa nebularia	Groenpootruiter		Afrikaans				
Camaroptera brachyura	Groenrugkwêkwêvoël		Afrikaans				
Butorides striata	Groenrugreier		Afrikaans				
Ceuthmochares aereus	Groenvleiloerie		Afrikaans				
Turtur chalcospilos	Groenvlekduifie		Afrikaans				
Chrysospalax villosus 	Grofhaarkruipmol		Afrikaans				
Geocolaptes olivaceus	Grondspeg		Afrikaans				
Diomedea exulans	Grootalbatros (-malmok)		Afrikaans				
Lamprotornis chalybaeus	Groot-blouoorglansspreeu		Afrikaans				
Anous stolidus	Grootbruinsterretjie		Afrikaans				
Phoenicopterus ruber	Grootflamink		Afrikaans				
Fregata minor	Grootfregatvoël		Afrikaans				
Tringa melanoleuca	Grootgeelpootruiter		Afrikaans				
Lamprotornis australis	Grootglansspreeu		Afrikaans				
Herpestes ichneumon	Grootgrysmuishond		Afrikaans				
Indicator indicator	Grootheuningwyser		Afrikaans				
Aquila spilogaster	Grootjagarend		Afrikaans				
Calidris tenuirostris	Grootknoet		Afrikaans				
Genetta tigrina 	Grootkolmuskejaatkat		Afrikaans				
Porphyrio madagascariensis	Grootkoningriethaan		Afrikaans				
Actophilornis africanus	Grootlangtoon		Afrikaans				
Passer motitensis	Grootmossie		Afrikaans				
Macronectes halli	Grootnellie		Afrikaans				
Aonyx capensis 	Groototter		Afrikaans				
Puffinus gravis	Grootpylstormvoël		Afrikaans				
Rallus caerulescens	Grootriethaan		Afrikaans				
Botaurus stellaris	Grootrietreier (Roerdomp)		Afrikaans				
Thryonomys swinderianus	Grootrietrot		Afrikaans				
Acrocephalus arundinaceus	Grootrietsanger		Afrikaans				
Streptopelia semitorquata	Grootringduif		Afrikaans				
Cinnyris afer	Groot-rooibandsuikerbekkie		Afrikaans				
Falco rupicoloides	Grootrooivalk		Afrikaans				
Chionis albus	Grootskedebek (-peddie)		Afrikaans				
Sterna sandvicensis	Grootsterretjie		Afrikaans				
Charadrius leschenaultii	Grootstrandkiewiet		Afrikaans				
Hirundo cucullata	Grootstreepswael		Afrikaans				
Ciconia nigra	Grootswartooievaar		Afrikaans				
Vanellus melanopterus	Grootswartvlerkkiewiet		Afrikaans				
Cisticola natalensis	Groottinktinkie		Afrikaans				
Coracias naevius	Groottroupant		Afrikaans				
Bradornis infuscatus	Grootvlieëvanger		Afrikaans				
Gallinula chloropus	Grootwaterhoender		Afrikaans				
Egretta alba	Grootwitreier		Afrikaans				
Numenius arquata	Grootwulp		Afrikaans				
Suncus lixus	Groter dwergskeerbek		Afrikaans				
