ref_entity	Taxon	page
Q117188719	Brownanthlls	48
Q117188719	Browningia	189
Q117188719	Browningieac	188
Q117188719	Brunelliaceae	8
Q117188719	Brunia	469
Q117188719	Brunnichia	540
Q117188719	B. cirrhosa	532
Q117188719	Bubbia	635-637
Q117188719	Bucklandia	329
Q117188719	Bufonia	226
Q117188719	Buginvillaea	483
Q117188719	Buiningia	181
Q117188719	Bukiniczia	529
Q117188719	Burasaia	413
Q117188719	Bursera	560
Q117188719	Buxaceae	469
Q117188719	Cabomba	160
Q117188719	C. haynesii	158
Q117188719	Cabombaceae	157
Q117188719	Cactaceae	161
Q117188719	Cacteae	191
Q117188719	Cactinae	168
Q117188719	Cactoideae	172
Q117188719	Cactus	196
Q117188719	Calandrinia	544
Q117188719	C. affinis	547
Q117188719	C. leucocephala	547
Q117188719	C. llspalatensis	547
Q117188719	C. longiscarpa	547
Q117188719	C. picta	547
Q117188719	C. primulifera	545
Q117188719	C. sp.547	
Q117188719	C. volubilis	547
Q117188719	C. macrocarpa	547
Q117188719	C. ciliata	547
Q117188719	Calandriniopsis	551
Q117188719	Calathodes	573
Q117188719	Calicorema	86
Q117188719	Callianthemum	575
Q117188719	Calligonum	542
Q117188719	Calpidia	484
Q117188719	Caltha	572
Q117188719	C. palustrus	566
Q117188719	Calvelia	274
Q117188719	Calycanthaceae	197
Q117188719	Calycanthlls	199
Q117188719	C. fertilies	198
Q117188719	C. floridus	198
Q117188719	Calycocarpum	412
Q117188719	Calycotropis	234
Q117188719	Calymmanthium	189
Q117188719	Calyptridium	553
Q117188719	Calyptrotheca	550
Q117188719	C. sp.	38
Q117188719	Calyptrotheceae	549
Q117188719	Camphorosma	269
Q117188719	Camphorosmeae	269
Q117188719	Camphorosmoideae	261
Q117188719	Canacomyrica	456
Q117188719	C. monticola	456
Q117188719	Cananga	110
Q117188719	Ul	
Q117188719	Canangium	121
Q117188719	Canbya	504
Q117188719	Canella	203
Q117188719	C. winterana	201
Q117188719	Canellaceae	200
Q117188719	Cannabaceae	204
Q117188719	Cannabis	205
Q117188719	Capnoides	314
Q117188719	Capparales	500
Q117188719	Capparidales	3
Q117188719	Caprifoliaceae	22
Q117188719	Capsicodendron	202
Q117188719	Cardiogyne	446
Q117188719	Cardionema	224
Q117188719	Cardiopetalum	108
Q117188719	U4	
Q117188719	Caribea	482
Q117188719	Carnegiea	190
Q117188719	Carnegieodoxa	434
Q117188719	Carpanthea	53
Q117188719	Carpinaceae	152
Q117188719	Carpinus	156
Q117188719	Carpobrotus	62
Q117188719	Carronia	410
Q117188719	Carruanthus	61
Q117188719	Carya	357
Q117188719	Caryapollenites	641
Q117188719	Caryodaphnopsis	381
Q117188719	Caryomene	411
Q117188719	Caryophyllaceae	206
Q117188719	Caryophyllales	13
Q117188719	Caryophylleae	230
Q117188719	Caryophyllidites	217
Q117188719	Caryophyllinae	13
Q117188719	Caryophylloideae	219.23
Q117188719	Caryotophora	53
Q117188719	Casholdia	355
Q117188719	Cassytha	386
Q117188719	Castalia	491
Q117188719	Castanea	307
Q117188719	C. vesca	305
Q117188719	Castaneoideae	302-306
Q117188719	Castanopsis	307
Q117188719	Castellanosia	189
Q117188719	Castilla	449
Q117188719	Castilleae	449
Q117188719	Casuarina	241
Q117188719	C. collina	238
Q117188719	C. glauca	240
Q117188719	Casuarinaceae	237
Q117188719	Casuarinales	8
Q117188719	Cathcartia	505
Q117188719	Caulophyllum	149
Q117188719	Caytoniales	360
Q117188719	Cecropia	245
Q117188719	C. adenopus	244
Q117188719	Cecropiaceae	243
Q117188719	Cedrelospermum	607
Q117188719	Celastraceae	22
Q117188719	Celastrales	560
Q117188719	Celosia	80
Q117188719	C. argentea	79
Q117188719	C. trigyna	73
Q117188719	Celosieae	79
Q117188719	Celtidaceae	606
Q117188719	Celtidoideae	609
Q117188719	Celtis	609
Q117188719	C. durandii	604
Q117188719	Celtoidanthus	607
Q117188719	Centema	83
Q117188719	Centemopsis	83
Q117188719	Centrospermae	13
Q117188719	Centrostachys	87
Q117188719	Centrostegia	538
Q117188719	Cephalocereus	190
Q117188719	Cephalocleistocactus	183
Q117188719	Cephalophilum	542
Q117188719	Cephalophyllum	66
Q117188719	Cephalorrhizum	528
Q117188719	C. oopodum	523
Q117188719	Cephalosphaera	464
Q117188719	Cephalotomandra	484
Q117188719	Ceraria	550
Q117188719	Cerastium	226
Q117188719	Ceratocapnos	315
Q117188719	Ceratocarpus	268
Q117188719	Ceratocephala	579
Q117188719	Ceratoides	268
Q117188719	Ceratophyllaceae	246
Q117188719	Ceratophyllaies	249
Q117188719	Ceratophyllum	249
Q117188719	C. demersum	247
Q117188719	Ceratostigma	527
Q117188719	Ceratostratiotes	249
Q117188719	Ccrcidiphyllaceae	250
Q117188719	Cercidiphyllum	252
Q117188719	C. japonicum	251
Q117188719	Cerdia	222
Q117188719	Cereeae	180
Q117188719	Cerei	180
Q117188719	Cereus	180
Q117188719	Cernohorskya	225
Q117188719	Cerochlamys	61
Q117188719	Ceuthostoma	241
Q117188719	C. palawanense	238
Q117188719	Chaetachme	610
Q117188719	Chaetolimon	528
Q117188719	Chaetonychia	224
Q117188719	Chamabainia	623
Q117188719	Chamaecereus	184
Q117188719	Chamissoa	80
Q117188719	Charpentiera	81
Q117188719	Chasmanthera	414
Q117188719	Chasmatophyllum	57
Q117188719	Cheiridopsis	66
Q117188719	Che1idonioideae	502
Q117188719	Chelidonium	502
Q117188719	C. majus	498
Q117188719	Chenolea	269
Q117188719	Chenoleoides	269
Q117188719	Chenopodiaceae	253
Q117188719	Chenopodiaies	75
Q117188719	Chenopodieae	265
Q117188719	Chenopodioideae	265
Q117188719	Chenopodium	266
Q117188719	C. bonus-henricus	254
Q117188719	Chiapasia	179
Q117188719	Chieniodendron	116
Q117188719	Chi/ita	196
Q117188719	Chimonanthus	199
Q117188719	Chionothrix	86
Q117188719	Chlaenandra	414
Q117188719	Chioranthaceae	517
Q117188719	Chloranthus	286
Q117188719	C. erectus	283
Q117188719	C. japonicus	284
Q117188719	Chlorocardium	389
Q117188719	Chlorophora	446
Q117188719	Chondrodendron	409
Q117188719	Choriptera	277
Q117188719	Chorizanthe	538
Q117188719	C. sp,	532
Q117188719	Chromanthus	552
Q117188719	Chrysolepis	307
Q117188719	Chunia	329
Q117188719	Cimicifuga	574
Q117188719	Cimicifugeae	573
Q117188719	Cinnadenia	389
Q117188719	Cinnamodendron	202
Q117188719	Cinnamomum	381
Q117188719	C. zeylanicum	369
Q117188719	Cinnamosma	203
Q117188719	C. fragrans	201
Q117188719	Cionomene	410
Q117188719	Cipocereus	180
Q117188719	Circaeaster	289
Q117188719	C. agrestis	288
Q117188719	Circaeasteraceae	288
Q117188719	Circaeocarpus	516
Q117188719	Circandra	63
Q117188719	Cissampelos	416
Q117188719	Cistaceae	562
Q117188719	Cistanthe	553
Q117188719	Cistus	557
Q117188719	Cladothrix	88
Q117188719	Clarisia	449
Q117188719	Clavatipollenites	285
Q117188719	Claytonia	553
Q117188719	Claytoniella	554
Q117188719	Cleistocactus	183
Q117188719	C. brookei	166
Q117188719	Cleistochlamys	117
Q117188719	Cleistopholis	113
Q117188719	Clematis	577
Q117188719	C. vitalba	566
Q117188719	Cleretum	53
Q117188719	Climacoptera	275
Q117188719	Clinostemon	384
Q117188719	Coccoloba	540
Q117188719	Coccoiobeae	535
Q117188719	Cocculus	417
Q117188719	C. carolinus	404
Q117188719	Cochemiea	196
Q117188719	Cochiseia	195
Q117188719	Coelanthum	425
Q117188719	Coelocaryon	465
Q117188719	Coleocephalocereus	181
Q117188719	Colignonia	481
Q117188719	Coiignonieae	478
Q117188719	Coiignoniinac	481
Q117188719	Colobanthus	228
Q117188719	Colombobalanus	308
Q117188719	Coloradoa	192
Q117188719	Combretaceae	24
Q117188719	Cometes	222
Q117188719	Commicarpus	482
Q117188719	Complexiopollis	585
Q117188719	Compsoneura	465
Q117188719	C. capitellata	460
Q117188719	C. trianae	460
Q117188719	Comptonia	456
Q117188719	Conicosia	52
Q117188719	C. elongata	38
Q117188719	Conocephaioideae	244
Q117188719	Conocephalus	245
Q117188719	Conophytum	60
Q117188719	Consolea	172
Q117188719	Consolida	575
Q117188719	Conuleum	433
Q117188719	Convoivuiaceae	22
Q117188719	Copianthus	91
Q117188719	Copiapoa	186
Q117188719	Coptideae	581
Q117188719	Coptidoideae	570
Q117188719	Coptis	581
Q117188719	Corbichonia	424
Q117188719	Corculum	540
Q117188719	Coreanomecon	502
Q117188719	Coriariaceae	3
Q117188719	Corispermeae	271
Q117188719	Corispermoideae	261
Q117188719	Corispermum	271
Q117188719	Cornalcs	9
Q117188719	Cornulaca	277
Q117188719	Coronaria	233
Q117188719	Corpuscularia	56
Q117188719	Corrigiola	225
Q117188719	Corrigioieae	225
Q117188719	Corryocactus	185
Q117188719	Corydaieae	314
Q117188719	Corydalis	314
Q117188719	C. cava	310
Q117188719	C. wilsonii	312
Q117188719	Coryiaceae	152
Q117188719	Coryioideae	156
Q117188719	Coryiopsideae	325
Q117188719	Corylopsis	327
Q117188719	Corylus	156
Q117188719	Corynopuntia	172
Q117188719	Coryphantha	193
Q117188719	Corystospermaics	360
Q117188719	Coscinieae	405
Q117188719	Coscinium	415
Q117188719	Coussapoa	245
Q117188719	Craterogyne	452
Q117188719	Cremastosperma	125
Q117188719	Cruciptera	355
Q117188719	Crunocallis	554
Q117188719	Cryophytum	46
Q117188719	Cryptocapnos	316
Q117188719	Cryptocarpus	480
Q117188719	Cryptocarya	386
Q117188719	Cryptocaryeae	374
Q117188719	Cryptocereus	179
Q117188719	Cucubalus	233
Q117188719	Cucurbitaceae	24
Q117188719	Cudrania	446
Q117188719	Cullmannia	178
Q117188719	Cumarinia	193
Q117188719	Cumulopuntia	172
Q117188719	Cunoniaceae	325
Q117188719	Cunoniales	8
Q117188719	Curarea	410
Q117188719	Cuscatlania	482
Q117188719	Cyathobasis	275
Q117188719	Cyathocalyx	118
Q117188719	Cyathophylla	231
Q117188719	Cyathostemma	114
Q117188719	Cyathula	84
Q117188719	Cyclea	416
Q117188719	Cyclocarya	356
Q117188719	Cycloloma	269
Q117188719	Cylindrophyllum	68
Q117188719	Cylindropuntia	172
Q117188719	Cymbopetalum	124
Q117188719	C. brasiliense	99
Q117188719	Cyperaceae	238
Q117188719	Cypholophus	624
Q117188719	Cyphomeris	482
Q117188719	Cypselea	45
Q117188719	Cyrilwhitea	271
Q117188719	Cyrtorhyncha	578
Q117188719	Cysticapnos	316
Q117188719	Cytineae	561
Q117188719	Cytinus	562
Q117188719	Dactylicapnos	314
Q117188719	Dactylopsis	47
Q117188719	Dadjoua	234
Q117188719	Dahlgrenodendron	386
Q117188719	Daphnandra	432
Q117188719	Daphniphyllaceae	8
Q117188719	Daphniphyllum	9
Q117188719	Darniella	275
Q117188719	Dasoclema	113
Q117188719	Dasymaschalon	114
Q117188719	Dasysphaera	85
Q117188719	Deamia	179
Q117188719	Debeya	522
Q117188719	Debregeasia	625
Q117188719	Decaisnea	364
Q117188719	Decarya	294
Q117188719	Decaryia	294
Q117188719	Decaryodendron	433
Q117188719	Dedeckera	537
Q117188719	Deeringia	79
Q117188719	Deeringothamnus	126
Q117188719	Degeneria	291
Q117188719	D. vitiensis	290
Q117188719	Degeneriaceae	290
Q117188719	Dehaasia	381
Q117188719	Delosperma	55
Q117188719	Delphinieae	575
Q117188719	Delphinium	575
Q117188719	Dendrocereus	178
Q117188719	Dendrocnide	621
Q117188719	Dendrokingstonia	113
Q117188719	Dendromecon	503
Q117188719	Denmoza	183
Q117188719	Dennettia	116
Q117188719	Derenbergiella	46
Q117188719	Desmopsis	116
Q117188719	Desmos	114
Q117188719	Dewalquea	522
Q117188719	Dialyanthera	465
Q117188719	Dialytheca	412
Q117188719	Dianthus	232
Q117188719	Diaphanoptera	230
Q117188719	Diazia	553
Q117188719	Dicentra	314
Q117188719	Dicheranthus	223
Q117188719	Dichocarpeae	581
Q117188719	Dichocarpum	581
Q117188719	Diclinanona	118
Q117188719	Dicoryphe	327
Q117188719	Dicoryphinae	325
Q117188719	Dicranostachys	245
Q117188719	Dicranostigma	503
Q117188719	Dicraurus	90
Q117188719	Dicrocaulon	53
Q117188719	Dictyolimon	528
Q117188719	Dicypellium	383
Q117188719	Didierea	295
Q117188719	D. madagascariensis	294
Q117188719	Didiereaceae	292
Q117188719	Didymanthus	270
Q117188719	Didymaotus	59
Q117188719	Didymelcaceae	8
Q117188719	Didymeles	9
Q117188719	Didymodoxa	628
Q117188719	Dielsina	116
Q117188719	Dielsiothamnus	121
Q117188719	Digera	81
Q117188719	Diglosselis	136
Q117188719	Dilleniales	3
Q117188719	Dinteranthus	58
Q117188719	Dioscoreophyllum	414
Q117188719	Diphylleia	151
Q117188719	Diploclisia	416
Q117188719	Diplosoma	54
Q117188719	Dipsacaceae	22
Q117188719	Dipteranthemum	87
