taxonID	furtherInformationURL	scientificName	taxonRank
4220403204	http://www.fao.org/fishery/species/18240/en	Stenella frontalis (Cuvier, 1829) 	species
1703903303	http://www.fao.org/fishery/species/2370/en	Diplodus sargus (Valenciennes, 1830) 	species
1210501203	http://www.fao.org/fishery/species/2085/en	Sardinella gibbosa (Bleeker, 1849) 	species
2260100501	http://www.fao.org/fishery/species/3393/en	Euphausia superba (Dana, 1852) 	species
1480401502	http://www.fao.org/fishery/species/2232/en	Pollachius pollachius (Linnaeus, 1758) 	species
1750101504	http://www.fao.org/fishery/species/3281/en	Scomberomorus guttatus (Bloch &amp; Schneider, 1801) 	species
1782000301	http://www.fao.org/fishery/species/2537/en	Cyclopterus lumpus (Linnaeus, 1758) 	species
4220400403	http://www.fao.org/fishery/species/3592/en	Globicephala macrorhynchus (Gray, 1846) 	species
2280100110	http://www.fao.org/fishery/species/2585/en	Penaeus stylirostris (Stimpson, 1874) 	species
4060101601	http://www.fao.org/fishery/species/2729/en	Otaria byronia (Shaw, 1800) 	species
1700116701	http://www.fao.org/fishery/species/3068/en	Lates calcarifer (Bloch, 1790) 	species
1070100101	http://www.fao.org/fishery/species/15438/en	Stegostoma fasciatum (Hermann, 1783) 	species
1060600601	http://www.fao.org/fishery/species/2008/en	Alopias vulpinus (Bonnaterre, 1788) 	species
1070700102	http://www.fao.org/fishery/species/11433/en	Cirrhoscyllium formosanum (Teng, 1959) 	species
4220200311	http://www.fao.org/fishery/species/18187/en	Mesoplodon bowdoini (Andrews, 1908) 	species
4220200302	http://www.fao.org/fishery/species/18178/en	Mesoplodon grayi (von Haast, 1876) 	species
1090100805	http://www.fao.org/fishery/species/11178/en	Centrophorus acus (Garman, 1906) 	species
1702313401	http://www.fao.org/fishery/species/3122/en	Elagatis bipinnulata (Quoy &amp; Gaimard, 1824) 	species
2280100101	http://www.fao.org/fishery/species/3400/en	Penaeus aztecus (Ives, 1891) 	species
1701436103	http://www.fao.org/fishery/species/3098/en	Sander lucioperca (Linnaeus, 1758) 	species
1707700302	http://www.fao.org/fishery/species/2268/en	Galeoides decadactylus (Bloch, 1795) 	species
1710200101	http://www.fao.org/fishery/species/2456/en	Anarhichas lupus (Linnaeus, 1758) 	species
1210501204	http://www.fao.org/fishery/species/2086/en	Sardinella longiceps (Valenciennes, 1847) 	species
1480400502	http://www.fao.org/fishery/species/2221/en	Molva dypterygia (Pennant, 1784) 	species
4060100605	http://www.fao.org/fishery/species/18199/en	Arctocephalus galapagoensis (Heller, 1904) 	species
1702021301	http://www.fao.org/fishery/species/3102/en	Pomatomus saltatrix (Linnaeus, 1766) 	species
1750100104	http://www.fao.org/fishery/species/3275/en	Sarda chiliensis (Cuvier, 1831) 	species
1210503101	http://www.fao.org/fishery/species/2902/en	Etrumeus teres (De Kay, 1842) 	species
1211100201	http://www.fao.org/fishery/species/2113/en	Chirocentrus dorab (Forsskål, 1775) 	species
4220402703	http://www.fao.org/fishery/species/18197/en	Cephalorhynchus hectori (van Beneden, 1881) 	species
1090300402	http://www.fao.org/fishery/species/15414/en	Squatina aculeata (Cuvier, 1829) 	species
1170100114	http://www.fao.org/fishery/species/10178/en	Acipenser dabryanus (Duméril, 1869) 	species
3160700801	http://www.fao.org/fishery/species/3514/en	Crassostrea gigas (Thunberg, 1793) 	species
1090100804	http://www.fao.org/fishery/species/2837/en	Centrophorus lusitanicus (Bocage &amp; Capello, 1864) 	species
1090100302	http://www.fao.org/fishery/species/11421/en	Cirrhigaleus barbifer (Tanaka, 1912) 	species
1480400301	http://www.fao.org/fishery/species/3012/en	Lota lota (Linnaeus, 1758) 	species
4060200401	http://www.fao.org/fishery/species/3580/en	Odobenus rosmarus (Linnaeus, 1758) 	species
1480201401	http://www.fao.org/fishery/species/2231/en	Pseudophycis bachus (Bloch &amp; Schneider, 1801) 	species
1210500105	http://www.fao.org/fishery/species/2886/en	Clupea harengus (Linnaeus, 1758) 	species
1070401503	http://www.fao.org/fishery/species/11342/en	Chiloscyllium griseum (Müller &amp; Henle, 1838) 	species
1090100807	http://www.fao.org/fishery/species/11180/en	Centrophorus moluccensis (Bleeker, 1860) 	species
1050100101	http://www.fao.org/fishery/species/11367/en	Chlamydoselachus anguineus (Garman, 1884) 	species
1210501223	http://www.fao.org/fishery/species/2892/en	Sardinella lemuru (Bleeker, 1853) 	species
2310901006	http://www.fao.org/fishery/species/2627/en	Cancer pagurus (Linnaeus, 1758) 	species
1750101403	http://www.fao.org/fishery/species/2478/en	Rastrelliger kanagurta (Cuvier, 1817) 	species
4220402602	http://www.fao.org/fishery/species/18218/en	Lissodelphis peronii (Lacepède, 1804) 	species
4220402702	http://www.fao.org/fishery/species/18196/en	Cephalorhynchus heavisidii (Gray, 1828) 	species
1170100402	http://www.fao.org/fishery/species/15097/en	Scaphirhynchus albus (Forbes &amp; Richardson, 1905) 	species
1480500406	http://www.fao.org/fishery/species/3027/en	Merluccius hubbsi (Marini, 1933) 	species
1170100115	http://www.fao.org/fishery/species/10180/en	Acipenser medirostris 	species
1830202405	http://www.fao.org/fishery/species/3361/en	Limanda limanda (Linnaeus, 1758) 	species
4220500201	http://www.fao.org/fishery/species/2740/en	Phocoena phocoena (Linnaeus, 1758) 	species
1090100704	http://www.fao.org/fishery/species/2834/en	Squalus acanthias (Smith &amp; Radcliffe, 1912) 	species
4060100604	http://www.fao.org/fishery/species/18200/en	Arctocephalus philippii (Peters, 1866) 	species
1480403302	http://www.fao.org/fishery/species/2236/en	Micromesistius australis (Norman, 1937) 	species
4220200307	http://www.fao.org/fishery/species/18183/en	Mesoplodon bidens (Sowerby, 1804) 	species
1750600302	http://www.fao.org/fishery/species/2468/en	Trichiurus lepturus (Linnaeus, 1758) 	species
1170100103	http://www.fao.org/fishery/species/10183/en	Acipenser naccarii (Bonaparte, 1836) 	species
1702304307	http://www.fao.org/fishery/species/2314/en	Decapterus maruadsi (Temminck &amp; Schlegel, 1843) 	species
1480500401	http://www.fao.org/fishery/species/2238/en	Merluccius merluccius (Linneaus, 1758) 	species
1090300406	http://www.fao.org/fishery/species/15418/en	Squatina californica (Ayres, 1859) 	species
4060300202	http://www.fao.org/fishery/species/18221/en	Mirounga leonina (Linnaeus, 1758) 	species
4060100301	http://www.fao.org/fishery/species/18245/en	Zalophus californianus (Lesson, 1828) 	species
2280203101	http://www.fao.org/fishery/species/3422/en	Aristeus antennatus (Risso, 1816) 	species
1750102608	http://www.fao.org/fishery/species/3298/en	Thunnus maccoyii (Castelnau, 1872) 	species
4140200302	http://www.fao.org/fishery/species/3587/en	Trichechus inunguis (Natterer, 1883) 	species
