Zenodo_id	Resource_id	Resource_name	Resource_URL	OpenData_URL
13317400	SC_czech	Czech Republic Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_czech.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/4842653b-a936-4d49-a814-acd4c29ac121
13317402	SC_congo	Democratic Republic of the Congo Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_congo.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/a1f8e10d-62cd-49dc-96b9-69d061a7eb89
13316518	SC_croatia	Croatia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_croatia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/f6a296ec-c795-4f18-b1c4-8c16ad64cc78
13316520	SC_cuba	Cuba Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_cuba.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/942343da-fc0b-4789-8010-df5cf27d29e8
13317409	SC_curacao	Curacao Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_curacao.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/833d41de-dea1-41af-a1fd-f46b023ea289
13317411	SC_chile	Chile Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_chile.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/68a20883-23c3-4d68-a58c-2271099e4661
13316526	SC_colombia	Colombia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_colombia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/5edf2178-2ad2-4948-8934-f6409c517870
13317415	SC_comoros	Comoros Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_comoros.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/43444b4a-55c0-4fac-99fd-7653300e15bc
13316540	SC_capeverde	Cape Verde Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_capeverde.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/c5380aa3-f55f-4642-b6b6-a309c2117b94
13316548	SC_centralafricanrepublic	Central African Republic Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_centralafricanrepublic.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/35cdf6d7-235c-4322-9c72-f9a7ecc0d053
13316550	SC_chad	Chad Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_chad.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/f66fae85-6c62-4130-94d3-b618783cde7f
13317423	SC_canada	Canada Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_canada.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/a3ff7895-3556-43d8-bb25-6b0555c5918f
13316556	SC_gabon	Gabon Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_gabon.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/a8ee5b70-43e1-4c5a-8fa0-a1281360c8fb
13317430	SC_georgia	Georgia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_georgia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/c02d9b52-47ce-46c4-9e2b-f75ab450474d
13316560	SC_germany	Germany Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_germany.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/ee1d18db-03eb-4c51-9100-76a77c7509c9
13317436	SC_ghana	Ghana Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ghana.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/0b14c4e8-5a85-4785-adfc-4028fa8770e6
13316564	SC_greece	Greece Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_greece.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/b104d917-e37b-4460-a55e-5161cb2b6a71
13317441	SC_grenada	Grenada Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_grenada.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/bd46db3c-1268-4b60-b2e8-2e786e8b54c5
