taxonID	furtherInformationURL	parentNameUsageID	scientificName	higherClassification	EOLid
d309b4b82b14d6627df7c84820b64486	http://www.protisten.de/gallery-ALL/1400-Lemmermannia-tetrapedia.html	chlorophyta-trebouxiophyceae	Lemmermannia tetrapedia	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Trebouxiophyceae	
20d93c54978033cc664a7bbfe921546b	http://www.protisten.de/gallery-ALL/1401-Lepocinclis-acus.html	euglenales-phacaceae	Lepocinclis acus	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Euglenophyceae|Euglenales|Phacaceae	
euglenales-phacaceae		euglenophyceae-euglenales	Phacaceae	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Euglenophyceae|Euglenales	
39c58ac28f11ff11776ee16dbf3c88a8	http://www.protisten.de/gallery-ALL/1403-Lepocinclis-oxyuris.html	euglenales-phacaceae	Lepocinclis oxyuris	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Euglenophyceae|Euglenales|Phacaceae	
aebfb28860de8f8ea27003925f194947	http://www.protisten.de/gallery-ALL/1405-Leptophrys-vorax.html	vampyrellida-leptophryidae	Leptophrys vorax	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Endomyxa|Vampyrellida|Leptophryidae	
vampyrellida-leptophryidae		endomyxa-vampyrellida	Leptophryidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Endomyxa|Vampyrellida	
24daf781c8cd0ff58fbae9cd1ef09e26	http://www.protisten.de/gallery-ALL/1407-Lesquereusia-epistomium.html	longithecina-lesquereusiidae	Lesquereusia epistomium	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Longithecina|Lesquereusiidae	
longithecina-lesquereusiidae		glutinoconcha-longithecina	Lesquereusiidae	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Longithecina	
f7d69eded6869cad3987138e8d146024	http://www.protisten.de/gallery-ALL/1408-Lesquereusia-modesta.html	longithecina-lesquereusiidae	Lesquereusia modesta	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Longithecina|Lesquereusiidae	
ef3aa0b760359146e6102414e42ee3e4	http://www.protisten.de/gallery-ALL/1411-Lesquereusia-spiralis.html	longithecina-lesquereusiidae	Lesquereusia spiralis	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Longithecina|Lesquereusiidae	
5a8ac8c156ea82a7bd0f7a5a216b78cc	http://www.protisten.de/gallery-ALL/1418-Licmophora-spec.html	licmophorales-licmophoraceae	Licmophora	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Fragilariophyceae|Fragilariophycidae|Licmophorales|Licmophoraceae	
licmophorales-licmophoraceae		fragilariophycidae-licmophorales	Licmophoraceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Fragilariophyceae|Fragilariophycidae|Licmophorales	
ac4da5b3f2ee7e4b5567640c75648f7a	http://www.protisten.de/gallery-ALL/1419-Licmophora-juergensii.html	licmophorales-licmophoraceae	Licmophora juergensii	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Fragilariophyceae|Fragilariophycidae|Licmophorales|Licmophoraceae	
f250d9b742cfb4740e045bbdc7012bb0	http://www.protisten.de/gallery-ALL/1427-Licmophora-oedipus.html	licmophorales-licmophoraceae	Licmophora oedipus	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Fragilariophyceae|Fragilariophycidae|Licmophorales|Licmophoraceae	
dc980fde04c79a0297e78fef520bdb9d	http://www.protisten.de/gallery-ALL/1429-Longinebela-penardiana.html	hyalospheniformes-hyalospheniidae	Longinebela penardiana	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Hyalospheniformes|Hyalospheniidae	
133b374e11bccdfceeaca1a853c1236d	http://www.protisten.de/gallery-ALL/1437-Longinebela-tubulosa.html	hyalospheniformes-hyalospheniidae	Longinebela tubulosa	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Hyalospheniformes|Hyalospheniidae	
b826cf71dab2f9ba25c8f80ce611c925	http://www.protisten.de/gallery-ALL/1438-Loxodes-spec.html	loxodida-loxodidae	Loxodes	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora|Karyorelictea|Loxodida|Loxodidae	
postciliodesmatophora-karyorelictea		ciliophora-postciliodesmatophora	Karyorelictea	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora	
karyorelictea-loxodida		postciliodesmatophora-karyorelictea	Loxodida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora|Karyorelictea	
loxodida-loxodidae		karyorelictea-loxodida	Loxodidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora|Karyorelictea|Loxodida	
aa131f82900572a679c35efc427caacc	http://www.protisten.de/gallery-ALL/1439-Lyngbya-nigra.html	oscillatoriales-oscillatoriaceae	Lyngbya nigra	Bacteria|Cyanobacteria|Oscillatoriales|Oscillatoriaceae	
oscillatoriales-oscillatoriaceae		cyanobacteria-oscillatoriales	Oscillatoriaceae	Bacteria|Cyanobacteria|Oscillatoriales	
