Label	URI
Birge, T.L.	http://eol.org/schema/terms/Birge_TL
Cortes-Ortíz, L.	http://eol.org/schema/terms/Cortes-Ortíz_L
Rosales-Meda, M.	http://eol.org/schema/terms/Rosales-Meda_M
Marsh, L.K.	http://eol.org/schema/terms/Marsh_LK
Mittermeier, R.A.	http://eol.org/schema/terms/Mittermeier_RA
Cotton, A.	http://eol.org/schema/terms/Cotton_A
Schwitzer, C.	http://eol.org/schema/terms/Schwitzer_C
Jerusalinsky, L.	http://eol.org/schema/terms/Jerusalinsky_L
Pinto, T.	http://eol.org/schema/terms/Pinto_T
Freire Filho, R.	http://eol.org/schema/terms/Freire_Filho_R
Shedden, A.	http://eol.org/schema/terms/Shedden_A
Rodríguez-Luna, E.	http://eol.org/schema/terms/Rodriguez-Luna_E
de Grammont, P.C.	http://eol.org/schema/terms/de_Grammont_PC
Link, A.	http://eol.org/schema/terms/Link_A
Konstant, W.R.	http://eol.org/schema/terms/Konstant_WR
Calouro, A.M.	http://eol.org/schema/terms/Calouro_AM
Bicca-Marques, J.C.	http://eol.org/schema/terms/Bicca-Marques_JC
Rodriguez-Luna, E.	http://eol.org/schema/terms/Rodriguez-Luna_E
Luedtke, J.	http://eol.org/schema/terms/Luedtke_J
Daltry, J.C.	http://eol.org/schema/terms/Daltry_JC
Mayer, G.C.	http://eol.org/schema/terms/Mayer_GC
Hedges, B.	http://eol.org/schema/terms/Hedges_B
Wilson, B.S.	http://eol.org/schema/terms/Wilson_BS
Gibson, R.	http://eol.org/schema/terms/Gibson_R
Powell, R.	http://eol.org/schema/terms/Powell_R
Jordan, M.	http://eol.org/schema/terms/Jordan_M
Usukhjargal, D.	http://eol.org/schema/terms/Usukhjargal_D
Chanson, J.S.	http://eol.org/schema/terms/Chanson_JS
Bosch, J.	http://eol.org/schema/terms/Bosch_J
Tejedo, M.	http://eol.org/schema/terms/Tejedo_M
Lizana, M.	http://eol.org/schema/terms/Lizana_M
Martinez Solano, I.	http://eol.org/schema/terms/Martinez_Solano_I
Salvador, A.	http://eol.org/schema/terms/Salvador_A
García París, M.	http://eol.org/schema/terms/García-París_M
Recuero Gil, E.	http://eol.org/schema/terms/Recuero_Gil_E
Arntzen, J.	http://eol.org/schema/terms/Arntzen_J
Márquez, R.	http://eol.org/schema/terms/Marquez_R
Díaz-Paniagua, C.	http://eol.org/schema/terms/Díaz-Paniagua_C
Podloucky, R.	http://eol.org/schema/terms/Podloucky_R
Temple, H.J.	http://eol.org/schema/terms/Temple_HJ
Reischütz, P.	http://eol.org/schema/terms/Reischutz_P
Tchibozo, S.	http://eol.org/schema/terms/Tchibozo_S
Ogbogu, S.S.	http://eol.org/schema/terms/Ogbogu_SS
Cowie, R.H.	http://eol.org/schema/terms/Cowie_RH
Raadik, T.	http://eol.org/schema/terms/Raadik_T
Unmack, P.	http://eol.org/schema/terms/Unmack_P
Bruce, A.	http://eol.org/schema/terms/Bruce_A
Butler, G.	http://eol.org/schema/terms/Butler_G
Coleman, R.	http://eol.org/schema/terms/Coleman_R
Freeman, R.	http://eol.org/schema/terms/Freeman_R
Gilligan, D.	http://eol.org/schema/terms/Gilligan_D
Kerezsy, A.	http://eol.org/schema/terms/Kerezsy_A
Koehn, J.	http://eol.org/schema/terms/Koehn_J
Lintermans, M.	http://eol.org/schema/terms/Lintermans_M
Pearce, L.	http://eol.org/schema/terms/Pearce_L
Scott, K.	http://eol.org/schema/terms/Scott_K
Tims, A.	http://eol.org/schema/terms/Tims_A
Whiterod, N.	http://eol.org/schema/terms/Whiterod_N
Kennard, M.	http://eol.org/schema/terms/Kennard_M
Brooks, S.	http://eol.org/schema/terms/Brooks_S
Hammer, M.	http://eol.org/schema/terms/Hammer_M
MacLeod, A.	http://eol.org/schema/terms/MacLeod_A
Nelson, K.N.	http://eol.org/schema/terms/Nelson_KN
Grant, T.D.	http://eol.org/schema/terms/Grant_TD
Perry, G.	http://eol.org/schema/terms/Perry_G
Maree, S.	http://eol.org/schema/terms/Maree_S
Bennett, N.C.	http://eol.org/schema/terms/Bennett_NC
Taylor, A.	http://eol.org/schema/terms/Taylor_A
Lamoreux, J.	http://eol.org/schema/terms/Lamoreux_J
Platenberg, R.	http://eol.org/schema/terms/Platenberg_R
Dewynter, M.	http://eol.org/schema/terms/Dewynter_M
Miller, B.	http://eol.org/schema/terms/Miller_B
Reid, F.	http://eol.org/schema/terms/Reid_F
Arroyo-Cabrales, J.	http://eol.org/schema/terms/Arroyo-Cabrales_J
Cuarón, A.D.	http://eol.org/schema/terms/Cuarón_AD
Solari, S.	http://eol.org/schema/terms/Solari_S
Granjon, L.	http://eol.org/schema/terms/Granjon_L
Heckel, J.	http://eol.org/schema/terms/Heckel_J
Wilhelmi, F.	http://eol.org/schema/terms/Wilhelmi_F
Kaariye, X.	http://eol.org/schema/terms/Kaariye_X
Amir, O.	http://eol.org/schema/terms/Amir_O
Roth, B.	http://eol.org/schema/terms/Roth_B
Cassinello, J.	http://eol.org/schema/terms/Cassinello_J
Cuzin, F.	http://eol.org/schema/terms/Cuzin_F
Jdeidi, T.	http://eol.org/schema/terms/Jdeidi_T
Masseti, M.	http://eol.org/schema/terms/Masseti_M
Nader, I.	http://eol.org/schema/terms/Nader_I
de Smet, K.	http://eol.org/schema/terms/De_Smet_K
Festa-Bianchet, M.	http://eol.org/schema/terms/Festa-Bianchet_M
Velazco, P.	http://eol.org/schema/terms/Velazco_P
Huamani, L.	http://eol.org/schema/terms/Huamani_L
Cadenillas, R.	http://eol.org/schema/terms/Cadenillas_R
Emberton, K.C.	http://eol.org/schema/terms/Emberton_KC
Bouchet, P.	http://eol.org/schema/terms/Bouchet_P
Kessner, V.	http://eol.org/schema/terms/Kessner_V
Köhler, F.	http://eol.org/schema/terms/Köhler_F
Ponder, W.	http://eol.org/schema/terms/Ponder_W
Stanisic, J.	http://eol.org/schema/terms/Stanisic_J
Slack-Smith, S.	http://eol.org/schema/terms/Slack-Smith_S
Buhlmann, K.	http://eol.org/schema/terms/Buhlmann_K
Rhodin, A.	http://eol.org/schema/terms/Rhodin_A
Du, L.-N.	http://eol.org/schema/terms/Du_L-N
Carmona, J.	http://eol.org/schema/terms/Carmona_J
Ngereza, C.	http://eol.org/schema/terms/Ngereza_C
Allen, D.	http://eol.org/schema/terms/Allen_D
Clark, S.	http://eol.org/schema/terms/Clark_S
Ponder, W.F.	http://eol.org/schema/terms/Ponder_WF
Angulo, A.	http://eol.org/schema/terms/Angulo_A
Leary, T.	http://eol.org/schema/terms/Leary_T
Seri, L.	http://eol.org/schema/terms/Seri_L
Flannery, T.	http://eol.org/schema/terms/Flannery_T
Wright, D.	http://eol.org/schema/terms/Wright_D
Hamilton, S.	http://eol.org/schema/terms/Hamilton_S
Helgen, K.	http://eol.org/schema/terms/Helgen_K
Singadan, R.	http://eol.org/schema/terms/Singadan_R
Allison, A.	http://eol.org/schema/terms/Allison_A
James, R.	http://eol.org/schema/terms/James_R
Bonaccorso, F.	http://eol.org/schema/terms/Bonaccorso_F
Aplin, K.	http://eol.org/schema/terms/Aplin_K
Anderson, W.	http://eol.org/schema/terms/Anderson_W
Claro, R.	http://eol.org/schema/terms/Claro_R
Cowan, J.	http://eol.org/schema/terms/Cowan_J
Lindeman, K.	http://eol.org/schema/terms/Lindeman_K
