Page ID	eol_pk	Value URI	Label
1053884	R96-PK42756627	http://eol.org/schema/terms/Nansei_Islands_subtropical_evergreen_forests	PRM and REP
4443391	R344-PK19356531	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4444339	R344-PK19350142	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4526873	R344-PK19330218	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4526874	R344-PK19333668	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4526860	R344-PK19360876	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4526862	R344-PK19348703	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4526863	R344-PK19336748	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4526902	R344-PK19332281	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4526894	R210-PK16356394	http://www.geonames.org/2921044	REP
4526894	R400-PK16187373	http://www.geonames.org/3017382	REP
4526892	R344-PK19363726	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
42401190	R231-PK17515718	http://www.geonames.org/192950	PRM and REP
42400732	R400-PK16203101	http://www.geonames.org/3017382	PRM and REP
4441357	R149-PK6116413	http://www.geonames.org/357994	PRM and REP
328077	R96-PK42560941	http://eol.org/schema/terms/Northern_Indochina_subtropical_forests	REP
328077	R96-PK42560942	http://eol.org/schema/terms/Red_River_freshwater_swamp_forests	REP
328077	R96-PK42560943	http://eol.org/schema/terms/Yunnan_Plateau_subtropical_evergreen_forests	REP
328078	R247-PK17654367	http://www.geonames.org/1733045	REP
328086	R96-PK42506479	http://eol.org/schema/terms/Brahmaputra_Valley_semi-evergreen_forests	REP
328086	R96-PK42507553	http://eol.org/schema/terms/Eastern_Himalayan_broadleaf_forests	REP
328086	R96-PK42506486	http://eol.org/schema/terms/Lower_Gangetic_Plains_moist_deciduous_forests	REP
328087	R96-PK42675485	http://eol.org/schema/terms/Sulawesi_lowland_rain_forests	REP
328087	R96-PK42675486	http://eol.org/schema/terms/Sulawesi_montane_rain_forests	REP
328096	R96-PK42625602	http://eol.org/schema/terms/Guinean_montane_forests	REP
328096	R96-PK42625603	http://eol.org/schema/terms/Western_Guinean_lowland_forests	REP
1053881	R507-PK22067241	http://www.geonames.org/2287781	REP
1053881	R169-PK15702827	http://www.geonames.org/2395170	REP
1053882	R96-PK42625453	http://eol.org/schema/terms/Cameroonian_Highlands_forests	REP
1053882	R96-PK42625459	http://eol.org/schema/terms/Northern_Congolian_forest-savanna_mosaic	REP
1053882	R96-PK42625458	http://eol.org/schema/terms/Northwestern_Congolian_lowland_forests	REP
1053879	R507-PK22066649	http://www.geonames.org/2287781	PRM and REP
1053880	R197-PK15838813	http://www.geonames.org/203312	PRM and REP
328101	R96-PK42625636	http://eol.org/schema/terms/Northeastern_Congolian_lowland_forests	REP
328101	R96-PK42625638	http://eol.org/schema/terms/Northern_Congolian_forest-savanna_mosaic	REP
328101	R96-PK42625637	http://eol.org/schema/terms/Western_Congolian_swamp_forests	REP
328101	R197-PK15840896	http://www.geonames.org/203312	REP
328101	R339-PK19127336	http://www.geonames.org/226074	REP
328091	R96-PK42725771	http://eol.org/schema/terms/Sri_Lanka_dry-zone_dry_evergreen_forests	REP
328091	R96-PK42725769	http://eol.org/schema/terms/Sri_Lanka_lowland_rain_forests	REP
328091	R96-PK42725770	http://eol.org/schema/terms/Sri_Lanka_montane_rain_forests	REP
328091	R98-PK14297242	http://www.marineregions.org/gazetteer.php?p=details&id=1904	REP
328090	R96-PK42725768	http://eol.org/schema/terms/South_Deccan_Plateau_dry_deciduous_forests	REP
328090	R96-PK42725766	http://eol.org/schema/terms/South_Western_Ghats_moist_deciduous_forests	REP
328090	R96-PK42725767	http://eol.org/schema/terms/South_Western_Ghats_montane_rain_forests	REP
29443107	R231-PK17515225	http://www.geonames.org/192950	REP
29443107	R183-PK16052102	http://www.geonames.org/337996	REP
29443107	R315-PK18764055	http://www.geonames.org/953987	REP
29443107	R406-PK11159779	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
29443107	R407-PK11382997	http://www.marineregions.org/gazetteer.php?p=details&id=1914	REP
328105	R96-PK42831657	http://eol.org/schema/terms/South_Western_Ghats_moist_deciduous_forests	REP
328105	R96-PK42831658	http://eol.org/schema/terms/South_Western_Ghats_montane_rain_forests	REP
328105	R181-PK15191040	http://www.geonames.org/2233387	REP
328105	R239-PK17536255	http://www.geonames.org/2275384	REP
328105	R169-PK15705272	http://www.geonames.org/2395170	REP
328083	R96-PK42595238	http://eol.org/schema/terms/Borneo_lowland_rain_forests	REP
328083	R96-PK42595239	http://eol.org/schema/terms/Borneo_montane_rain_forests	REP
328083	R96-PK42595240	http://eol.org/schema/terms/Kinabalu_montane_alpine_meadows	REP
328083	R220-PK16578009	http://www.marineregions.org/gazetteer.php?p=details&id=indonesia	REP
13778697	R400-PK16203415	http://www.geonames.org/3017382	PRM and REP
4524114	R292-PK18543214	http://www.geonames.org/2264397	REP
4524114	R210-PK16354327	http://www.geonames.org/2921044	REP
